,Case Number,Month,Year,Country,Activity,Injury
4800,1930.12.25,December,1930,AUSTRALIA,Swimming,Leg
4801,1930.12.13,December,1930,AUSTRALIA,Water sports,FATAL
4802,1930.12.02,December,1930,AUSTRALIA,Fishing,No injury
4803,1930.12.00,December,1930,AUSTRALIA,Unknown,FATAL
4804,1930.11.30,November,1930,AUSTRALIA,Swimming,Leg
4805,1930.09.26.R,September,1930,OTHER,Swimming,FATAL
4806,1930.09.12.R,September,1930,OTHER,Unknown,OTHER
4807,1930.08.31,August,1930,AUSTRALIA,Fishing,No injury
4808,1930.08.16,August,1930,SPAIN,Swimming,Leg
4809,1930.08.06,August,1930,USA,Swimming,Leg
4810,1930.07.19,July,1930,CUBA,Swimming,Leg
4811,1930.07.11,July,1930,USA,Swimming,Arm
4812,1930.06.04,June,1930,AUSTRALIA,Unknown,FATAL
4813,1930.05.27,May,1930,USA,Swimming,Arm
4814,1930.05.11.R,May,1930,TURKEY,Fishing,No injury
4815,1930.05.11,May,1930,COSTA RICA,OTHER,OTHER
4816,1930.04.08,April,1930,SOUTH AFRICA,Unknown,FATAL
4817,1930.03.07.R,March,1930,USA,Diving,No injury
4818,1930.02.20,February,1930,AUSTRALIA,Diving,Arm
4819,1930.02.15,February,1930,AUSTRALIA,Swimming,FATAL
4820,1930.02.03.R,February,1930,AUSTRALIA,OTHER,Leg
4821,1930.01.22,January,1930,MEXICO,Fishing,OTHER
4822,1930.01.16,January,1930,SOUTH AFRICA,Swimming,Arm
4823,1930.01.00,January,1930,OTHER,Swimming,OTHER
4824,1930.00.00.c,Unknown,1930,OTHER,Unknown,Unknown
4825,1930.00.00.a,Unknown,1930,SOUTH AFRICA,Swimming,FATAL
4826,1929.12.26,December,1929,AUSTRALIA,Diving,Leg
4827,1929.12.21,December,1929,AUSTRALIA,Diving,OTHER
4828,1929.12.16,December,1929,AUSTRALIA,Surfing,Leg
4829,1929.12.13,December,1929,AUSTRALIA,Diving,Arm
4830,1929.12.03.R,December,1929,AUSTRALIA,Unknown,FATAL
4831,1929.11.29,November,1929,OTHER,OTHER,FATAL
4832,1929.11.21,November,1929,CUBA,Fishing,Arm
4833,1929.10.20,October,1929,AUSTRALIA,Diving,Leg
4834,1929.10.02,October,1929,SPAIN,Fishing,Arm
4835,1929.09.01,September,1929,AUSTRALIA,Swimming,Leg
4836,1929.08.05,August,1929,USA,Swimming,Leg
4837,1929.07.29,July,1929,MEXICO,Swimming,Leg
4838,1929.07.17.R,July,1929,OTHER,Unknown,OTHER
4839,1929.06.23,June,1929,USA,Fishing,Leg
4840,1929.05.31,May,1929,AUSTRALIA,Diving,Leg
4841,1929.04.26.R,April,1929,AUSTRALIA,Diving,Leg
4842,1929.04.17.R,April,1929,AUSTRALIA,Diving,Arm
4843,1929.04.11,April,1929,AUSTRALIA,Swimming,Leg
4844,1929.04.09,April,1929,AUSTRALIA,Unknown,FATAL
4845,1929.04.04,April,1929,AUSTRALIA,Swimming,FATAL
4846,1929.03.16,March,1929,USA,Swimming,Leg
4847,1929.03.12,March,1929,AUSTRALIA,Swimming,FATAL
4848,1929.03.04.b,March,1929,AUSTRALIA,Surfing,Leg
4849,1929.03.04.a,March,1929,AUSTRALIA,Surfing,Leg
4850,1929.02.18,February,1929,AUSTRALIA,Surfing,Leg
4851,1929.02.09,February,1929,AUSTRALIA,Water sports,No injury
4852,1929.02.08,February,1929,AUSTRALIA,Swimming,Leg
4853,1929.01.27,January,1929,AUSTRALIA,Swimming,Arm
4854,1929.01.14,January,1929,NEW ZEALAND,Swimming,Leg
4855,1929.01.12,January,1929,AUSTRALIA,Surfing,Leg
4856,1929.01.06.R,January,1929,TURKEY,Fishing,FATAL
4857,1929.01.05,January,1929,FIJI,Diving,Leg
4858,1929.00.00.e.R,Unknown,1929,AUSTRALIA,Swimming,OTHER
4859,1929.00.00.d,Unknown,1929,AUSTRALIA,Fishing,Leg
4860,1929.00.00.c,Unknown,1929,USA,Fishing,Leg
4861,1929.00.00.b,Unknown,1929,AUSTRALIA,Unknown,Arm
4862,1929.00.00.a,Unknown,1929,USA,Diving,Arm
4863,1928.12.21,December,1928,AUSTRALIA,Diving,Arm
4864,1928.11.18,November,1928,USA,Fishing,OTHER
4865,1928.11.15.R,November,1928,INDIA,Unknown,No injury
4866,1928.11.12,November,1928,USA,OTHER,FATAL
4867,1928.11.04,November,1928,PANAMA,Swimming,Leg
4868,1928.09.00,September,1928,USA,Fishing,Leg
4869,1928.08.24.R,August,1928,USA,Unknown,OTHER
4870,1928.07.11,July,1928,AUSTRALIA,Diving,Trunk
4871,1928.07.00,July,1928,ITALY,Water sports,No injury
4872,1928.06.24.R,June,1928,USA,Swimming,Leg
4873,1928.05.17,May,1928,INDIA,Unknown,Unknown
4874,1928.04.14.R,April,1928,AUSTRALIA,Fishing,Arm
4875,1928.04.14,April,1928,AUSTRALIA,Swimming,Leg
4876,1928.04.09,April,1928,JAMAICA,Diving,FATAL
4877,1928.04.06,April,1928,AUSTRALIA,Swimming,Leg
4878,1928.04.04,April,1928,AUSTRALIA,Swimming,Leg
4879,1928.03.28.R,March,1928,AUSTRALIA,Unknown,Trunk
4880,1928.02.20,February,1928,AUSTRALIA,Diving,FATAL
4881,1928.02.00.b,February,1928,COSTA RICA,Swimming,Leg
4882,1928.02.00.a,February,1928,COSTA RICA,Swimming,Leg
4883,1928.01.27,January,1928,AUSTRALIA,Swimming,FATAL
4884,1928.01.21.b,January,1928,USA,Swimming,OTHER
4885,1928.01.21.a,January,1928,USA,Swimming,FATAL
4886,1928.01.02,January,1928,SOUTH AFRICA,Unknown,Leg
4887,1928.01.00,January,1928,SOUTH AFRICA,Surfing,Leg
4888,1928.00.00,Unknown,1928,SOUTH AFRICA,Shore,Leg
4889,1927.12.28,December,1927,SOUTH AFRICA,Swimming,Leg
4890,1927.11.03,November,1927,AUSTRALIA,OTHER,OTHER
4891,1927.10.25,October,1927,BRAZIL,OTHER,OTHER
4892,1927.10.12,October,1927,AUSTRALIA,OTHER,No injury
4893,1927.10.00,October,1927,FIJI,Shore,Leg
4894,1927.07.03,July,1927,AUSTRALIA,Unknown,No injury
4895,1927.05.29,May,1927,PHILIPPINES,OTHER,OTHER
4896,1927.05.09.R,May,1927,AUSTRALIA,Shore,FATAL
4897,1927.04.10,April,1927,AUSTRALIA,Diving,Leg
4898,1927.04.08,April,1927,AUSTRALIA,Diving,Leg
4899,1927.03.01,March,1927,AUSTRALIA,Surfing,Leg
4900,1927.02.14,February,1927,OTHER,OTHER,Arm
4901,1927.02.09,February,1927,AUSTRALIA,Water sports,Leg
4902,1927.02.00,February,1927,NEW ZEALAND,Fishing,OTHER
4903,1927.01.20,January,1927,SOUTH AFRICA,Surfing,Leg
4904,1927.01.08.R,January,1927,USA,Swimming,Arm
4905,1927.01.03,January,1927,AUSTRALIA,Swimming,Leg
4906,1927.00.00.b,Unknown,1927,AUSTRALIA,Swimming,Arm
4907,1927.00.00.a,Unknown,1927,AUSTRALIA,Diving,Arm
4908,1926.12.02.R,December,1926,AUSTRALIA,Diving,FATAL
4909,1926.11.17,November,1926,AUSTRALIA,Diving,Arm
4910,1926.10.29.R,October,1926,PAPUA NEW GUINEA,Swimming,Trunk
4911,1926.10.23.b,October,1926,AUSTRALIA,Swimming,Leg
4912,1926.10.23.a,October,1926,BERMUDA,Water sports,Unknown
4913,1926.09.06.R,September,1926,PAPUA NEW GUINEA,Water sports,FATAL
4914,1926.08.24,August,1926,USA,Swimming,FATAL
4915,1926.07.23,July,1926,ITALY,Swimming,FATAL
4916,1926.07.12,July,1926,USA,Fishing,No injury
4917,1926.07.08,July,1926,USA,Swimming,Leg
4918,1926.07.03,July,1926,SPAIN,Swimming,No injury
4919,1926.05.18,May,1926,USA,Swimming,FATAL
4920,1926.04.22,April,1926,SOUTH ATLANTIC OCEAN,Water sports,Leg
4921,1926.04.07,April,1926,USA,Swimming,Leg
4922,1926.03.17,March,1926,AUSTRALIA,Swimming,FATAL
4923,1926.01.26,January,1926,SOUTH AFRICA,Swimming,Leg
4924,1926.01.00,January,1926,AUSTRALIA,Unknown,Leg
4925,1926.00.00.d,Unknown,1926,OTHER,Unknown,FATAL
4926,1926.00.00.c,Unknown,1926,NEW ZEALAND,Water sports,OTHER
4927,1926.00.00.b,Unknown,1926,OTHER,Swimming,FATAL
4928,1926.00.00.a,Unknown,1926,SOUTH AFRICA,Swimming,Unknown
4929,1925.11.22,November,1925,AUSTRALIA,Swimming,Leg
4930,1925.11.00.b,November,1925,USA,Unknown,Trunk
4931,1925.11.00.a,November,1925,USA,Unknown,No injury
4932,1925.09.04,September,1925,SPAIN,Fishing,Arm
4933,1925.09.03,September,1925,ENGLAND,Fishing,No injury
4934,1925.08.02,August,1925,USA,Swimming,Leg
4935,1925.06.15,June,1925,AUSTRALIA,Unknown,Arm
4936,1925.05.00,May,1925,USA,Unknown,Arm
4937,1925.03.27,March,1925,AUSTRALIA,Swimming,Leg
4938,1925.03.12,March,1925,AUSTRALIA,Swimming,Leg
4939,1925.03.10,March,1925,PAPUA NEW GUINEA,Swimming,FATAL
4940,1925.01.27.R,January,1925,USA,Swimming,Arm
4941,1925.01.08,January,1925,CANADA,Swimming,OTHER
4942,1925.00.00,Unknown,1925,FIJI,Diving,Arm
4943,1924.11.25,November,1924,MEXICO,Water sports,FATAL
4944,1924.11.24,November,1924,PANAMA,Swimming,Leg
4945,1924.11.21,November,1924,USA,Swimming,Leg
4946,1924.10.31.R,October,1924,FRENCH POLYNESIA,Diving,OTHER
4947,1924.10.18,October,1924,AUSTRALIA,Swimming,Leg
4948,1924.07.31,July,1924,USA,Shore,Leg
4949,1924.07.14,July,1924,ENGLAND,Fishing,Arm
4950,1924.07.04,July,1924,USA,Fishing,No injury
4951,1924.06.18,June,1924,USA,OTHER,Leg
4952,1924.04.25,April,1924,AUSTRALIA,Swimming,FATAL
4953,1924.04.22,April,1924,PANAMA,Swimming,OTHER
4954,1924.04.20,April,1924,AUSTRALIA,Swimming,OTHER
4955,1924.03.28.R,March,1924,SOLOMON ISLANDS,Swimming,Leg
4956,1924.03.24,March,1924,SPAIN,Fishing,No injury
4957,1924.02.13,February,1924,AUSTRALIA,Swimming,Leg
4958,1924.02.08,February,1924,AUSTRALIA,Swimming,FATAL
4959,1924.01.29,January,1924,SOUTH AFRICA,Swimming,FATAL
4960,1924.01.25,January,1924,SOUTH AFRICA,Swimming,Leg
4961,1924.01.19,January,1924,AUSTRALIA,Swimming,Leg
4962,1923.12.12,December,1923,AUSTRALIA,Swimming,Leg
4963,1923.12.02,December,1923,AUSTRALIA,Swimming,FATAL
4964,1923.11.23,November,1923,AUSTRALIA,OTHER,FATAL
4965,1923.11.02,November,1923,AUSTRALIA,Fishing,FATAL
4966,1923.10.20,October,1923,AUSTRALIA,Water sports,Trunk
4967,1923.10.17,October,1923,AUSTRALIA,Fishing,No injury
4968,1923.10.16,October,1923,AUSTRALIA,Diving,Arm
4969,1923.08.08,August,1923,OTHER,Fishing,Leg
4970,1923.07.02.R,July,1923,AUSTRALIA,Diving,FATAL
4971,1923.06.16,June,1923,AUSTRALIA,Swimming,FATAL
4972,1923.06.06,June,1923,MEXICO,OTHER,No injury
4973,1923.05.23.R,May,1923,AUSTRALIA,Shore,Leg
4974,1923.05.22,May,1923,AUSTRALIA,Diving,FATAL
4975,1923.03.18,March,1923,AUSTRALIA,Diving,Leg
4976,1923.02.00,February,1923,USA,Swimming,Leg
4977,1923.01.27.b,January,1923,AUSTRALIA,Unknown,FATAL
4978,1923.01.27.a,January,1923,AUSTRALIA,Swimming,Leg
4979,1923.01.13,January,1923,CUBA,OTHER,FATAL
4980,1923.00.00.c,Unknown,1923,USA,Fishing,No injury
4981,1923.00.00.b,Unknown,1923,PHILIPPINES,Unknown,Trunk
4982,1923.00.00.a,Unknown,1923,USA,Fishing,Leg
4983,1923.00.00.a,Unknown,1922,USA,Fishing,Leg
4984,1922.12.14,December,1922,USA,Swimming,Leg
4985,1922.12.05,December,1922,AUSTRALIA,Swimming,Trunk
4986,1922.09.29,September,1922,OTHER,Fishing,FATAL
4987,1922.10.29,October,1922,AUSTRALIA,Water sports,FATAL
4988,1922.09.28,September,1922,USA,Diving,Unknown
4989,1922.09.26.R,September,1922,ENGLAND,Swimming,FATAL
4990,1922.09.21.R,September,1922,USA,Fishing,No injury
4991,1922.07.19,July,1922,USA,Unknown,Leg
4992,1922.06.17,June,1922,USA,Swimming,Leg
4993,1922.05.24,May,1922,JAMAICA,Swimming,Leg
4994,1922.05.06,May,1922,SOUTH AFRICA,Swimming,Leg
4995,1922.04.26,April,1922,AUSTRALIA,Swimming,FATAL
4996,1922.03.20,March,1922,JAMAICA,Fishing,Unknown
4997,1922.03.13,March,1922,JAMAICA,Shore,Leg
4998,1922.03.02,March,1922,AUSTRALIA,Swimming,Leg
4999,1922.02.22.R,February,1922,AUSTRALIA,Swimming,OTHER
5000,1922.02.04,February,1922,AUSTRALIA,Swimming,Arm
5001,1922.01.28.R,January,1922,OTHER,Swimming,FATAL
5002,1922.01.15,January,1922,AUSTRALIA,Swimming,FATAL
5003,1922.01.13,January,1922,AUSTRALIA,Shore,Leg
5004,1922.01.04,January,1922,AUSTRALIA,Surfing,FATAL
5005,1921.12.11,December,1921,AUSTRALIA,Swimming,Unknown
5006,1921.11.27.b,November,1921,AUSTRALIA,Swimming,FATAL
5007,1921.11.27.a,November,1921,AUSTRALIA,Shore,Arm
5008,1921.11.15.R,November,1921,FIJI,Swimming,FATAL
5009,1921.10.12,October,1921,AUSTRALIA,Diving,Arm
5010,1921.10.04,October,1921,AUSTRALIA,Diving,Leg
5011,1921.09.00,September,1921,ENGLAND,Fishing,Leg
5012,1921.08.29.R,August,1921,AUSTRALIA,Unknown,Arm
5013,1921.08.28,August,1921,PHILIPPINES,Swimming,Trunk
5014,1921.01.11.R,January,1921,PHILIPPINES,Unknown,Trunk
5015,1920.11.29,November,1920,AUSTRALIA,Shore,Leg
5016,1921.08.22,August,1921,OTHER,Fishing,Leg
5017,1920.11.22,November,1920,AUSTRALIA,Shore,Leg
5018,1920.11.04,November,1920,PHILIPPINES,OTHER,FATAL
5019,1920.07.14,July,1920,USA,Swimming,OTHER
5020,1920.07.05.R,July,1920,AUSTRALIA,Diving,Arm
5021,1920.06.29,June,1920,USA,Swimming,Leg
5022,1920.06.27,June,1920,CANADA,OTHER,Arm
5023,1920.03.08,March,1920,AUSTRALIA,Swimming,OTHER
5024,1920.01.24.R.b,January,1920,AUSTRALIA,Diving,Leg
5025,1920.02.03,February,1920,SOUTH AFRICA,Swimming,Trunk
5026,1920.01.24.R.a,January,1920,AUSTRALIA,Diving,FATAL
5027,1920.01.15,January,1920,AUSTRALIA,Swimming,Leg
5028,1920.00.00.b,Unknown,1920,JAMAICA,Water sports,FATAL
5029,1920.00.00.b,Unknown,1920,NEW ZEALAND,Unknown,OTHER
5030,1920.00.00.a,Unknown,1920,SOUTH AFRICA,Swimming,Leg
5031,1919.12.30.R,December,1919,AUSTRALIA,Swimming,Leg
5032,1919.12.07,December,1919,AUSTRALIA,Swimming,Leg
5033,1919.11.18,November,1919,AUSTRALIA,Shore,Trunk
5034,1919.09.12,September,1919,COSTA RICA,Swimming,FATAL
5035,1919.08.10,August,1919,USA,Swimming,Leg
5036,1919.05.29,May,1919,USA,Swimming,Leg
5037,1919.04.06,April,1919,USA,Swimming,FATAL
5038,1919.03.16,March,1919,AUSTRALIA,OTHER,OTHER
5039,1919.01.17,January,1919,AUSTRALIA,Swimming,Leg
5040,1919.01.15,January,1919,NEW ZEALAND,Swimming,Leg
5041,1919.01.09,January,1919,AUSTRALIA,Shore,Leg
5042,1919.01.05,January,1919,AUSTRALIA,Shore,Leg
5043,1900.00.00.R,Unknown,1919,ITALY,Fishing,No injury
5044,1919.00.00,Unknown,1919,USA,Swimming,Leg
5045,1918.11.00.b,November,1918,USA,Fishing,FATAL
5046,1918.11.00.a,November,1918,OTHER,Water sports,FATAL
5047,1918.09.19,September,1918,AUSTRALIA,Swimming,FATAL
5048,1918.03.22,March,1918,AUSTRALIA,Surfing,Arm
5049,1918.00.00,Unknown,1918,AUSTRALIA,Diving,Unknown
5050,1917.12.15,December,1917,AUSTRALIA,Swimming,Leg
5051,1917.11.00,November,1917,MOZAMBIQUE,OTHER,FATAL
5052,1917.09.21,September,1917,USA,Swimming,Leg
5053,1917.09.09,September,1917,USA,OTHER,Arm
5054,1917.09.00,September,1917,PANAMA,Swimming,FATAL
5055,1917.07.18,July,1917,USA,Diving,FATAL
5056,1917.07.15,July,1917,OTHER,OTHER,FATAL
5057,1917.06.03,June,1917,USA,Swimming,Arm
5058,1917.05.31,May,1917,PHILIPPINES,Swimming,Trunk
5059,1917.05.05,May,1917,OTHER,Diving,Trunk
5060,1917.00.00,Unknown,1917,OTHER,Diving,OTHER
5061,1916.12.30,December,1916,AUSTRALIA,Swimming,Leg
5062,1916.12.08.b,December,1916,AUSTRALIA,OTHER,Arm
5063,1916.12.08.a,December,1916,AUSTRALIA,Swimming,Leg
5064,1916.11.15,November,1916,PANAMA,Unknown,OTHER
5065,1916.11.10,November,1916,AUSTRALIA,Swimming,FATAL
5066,1916.11.09,November,1916,AUSTRALIA,Swimming,FATAL
5067,1916.10.11,October,1916,USA,Fishing,Leg
5068,1916.08.24,August,1916,USA,OTHER,Leg
5069,1916.07.26,July,1916,USA,Fishing,Arm
5070,1916.07.13.b,July,1916,USA,Swimming,No injury
5071,1916.07.13,July,1916,USA,Swimming,Leg
5072,1916.07.12.c,July,1916,USA,Swimming,Leg
5073,1916.07.12.b,July,1916,USA,Swimming,Leg
5074,1916.07.12.a,July,1916,USA,Swimming,Leg
5075,1916.07.11,July,1916,BAHAMAS,Swimming,FATAL
5076,1916.07.08,July,1916,SPAIN,Diving,Unknown
5077,1916.07.07,July,1916,PHILIPPINES,Swimming,Leg
5078,1916.07.06,July,1916,USA,Swimming,FATAL
5079,1916.07.01,July,1916,USA,Swimming,Leg
5080,1916.06.30,June,1916,USA,Swimming,Leg
5081,1916.06.24.R,June,1916,ATLANTIC OCEAN,Water sports,FATAL
5082,1916.06.23,June,1916,USA,Unknown,Leg
5083,1916.04.25.R,April,1916,AUSTRALIA,Swimming,FATAL
5084,1916.04.03,April,1916,AUSTRALIA,Water sports,FATAL
5085,1916.03.19,March,1916,AUSTRALIA,Swimming,Leg
5086,1915.12.09.R,December,1915,AUSTRALIA,Diving,Leg
5087,1915.11.10,November,1915,AUSTRALIA,Swimming,Arm
5088,1915.11.08,November,1915,AUSTRALIA,Swimming,Leg
5089,1915.08.03,August,1915,USA,Unknown,Leg
5090,1915.07.06.a.R,July,1915,MEXICO,Fishing,FATAL
5091,1915.07.06.a.R,July,1915,MEXICO,Shore,FATAL
5092,1915.05.15.R,May,1915,EGYPT,Water sports,OTHER
5093,1915.03.29,March,1915,AUSTRALIA,Surfing,Arm
5094,1915.02.06,February,1915,AUSTRALIA,Swimming,Leg
5095,1915.01.13,January,1915,NEW ZEALAND,Fishing,FATAL
5096,1915.01.01,January,1915,AUSTRALIA,Swimming,FATAL
5097,1915.00.00,Unknown,1915,USA,Unknown,FATAL
5098,1914.12.04.R,December,1914,AUSTRALIA,Swimming,Leg
5099,1914.10.17,October,1914,OTHER,Water sports,Leg
5100,1914.09.26.R,September,1914,JAMAICA,Water sports,FATAL
5101,1914.09.09,September,1914,USA,Swimming,FATAL
5102,1914.07.15.R,July,1914,CROATIA,Shore,No injury
5103,1914.07.09.R,July,1914,USA,Fishing,Leg
5104,1914.07.07,July,1914,CROATIA,Unknown,No injury
5105,1914.06.12,June,1914,OTHER,Fishing,No injury
5106,1914.06.10,June,1914,AUSTRALIA,Swimming,FATAL
5107,1914.05.31,May,1914,NEW CALEDONIA,Swimming,FATAL
5108,1914.05.14,May,1914,USA,Fishing,Arm
5109,1914.03.14.R,March,1914,USA,Swimming,FATAL
5110,1914.03.03,March,1914,USA,Shore,FATAL
5111,1914.02.09.R,February,1914,AUSTRALIA,Shore,Leg
5112,1914.02.03,February,1914,AUSTRALIA,Water sports,Arm
5113,1914.01.17.R,January,1914,AUSTRALIA,Shore,Leg
5114,1914.00.00,Unknown,1914,SOUTH AFRICA,Unknown,Unknown
5115,1913.12.30.R,December,1913,USA,Fishing,No injury
5116,1913.11.27,November,1913,OTHER,Water sports,FATAL
5117,1913.11.21,November,1913,AUSTRALIA,Swimming,Leg
5118,1913.09.21,September,1913,USA,Unknown,Unknown
5119,1913.09.03,September,1913,CROATIA,Unknown,OTHER
5120,1913.08.27.R,August,1913,USA,Unknown,Leg
5121,1913.08.27.R,August,1913,USA,Unknown,Leg
5122,1913.08.26.R,August,1913,ITALY,Unknown,OTHER
5123,1913.07.12,July,1913,USA,Unknown,FATAL
5124,1913.05.21,May,1913,USA,Fishing,Arm
5125,1913.05.02,May,1913,AUSTRALIA,OTHER,Leg
5126,1913.03.27,March,1913,OTHER,Unknown,Leg
5127,1913.01.00,January,1913,AUSTRALIA,Diving,Arm
5128,1913.00.00.d,Unknown,1913,REUNION,Swimming,FATAL
5129,1913.00.00.c,Unknown,1913,REUNION,Swimming,FATAL
5130,1913.00.00.a,Unknown,1913,AUSTRALIA,Unknown,Arm
5131,1912.08.30,August,1912,USA,Swimming,FATAL
5132,1912.07.23,July,1912,USA,Swimming,Leg
5133,1912.07.06.R,July,1912,SOLOMON ISLANDS,Swimming,FATAL
5134,1912.05.04,May,1912,SOUTH AFRICA,Unknown,Unknown
5135,1912.03.18,March,1912,NEW ZEALAND,Swimming,Leg
5136,1912.02.22,February,1912,AUSTRALIA,Diving,No injury
5137,1912.02.19,February,1912,AUSTRALIA,Swimming,Leg
5138,1912.02.03,February,1912,NEW CALEDONIA,Swimming,Leg
5139,1912.01.26,January,1912,AUSTRALIA,Swimming,FATAL
5140,1912.01.13.R,January,1912,FIJI,Shore,FATAL
5141,1912.01.06,January,1912,AUSTRALIA,Unknown,Leg
5142,1912.01.01,January,1912,AUSTRALIA,Swimming,FATAL
5143,1912.00.00,Unknown,1912,SPAIN,Swimming,FATAL
5144,1911.11.08,November,1911,USA,Unknown,OTHER
5145,1911.10.26,October,1911,USA,Water sports,FATAL
5146,1911.10.25,October,1911,AUSTRALIA,Diving,OTHER
5147,1911.09.23,September,1911,USA,Water sports,FATAL
5148,1911.09.20,September,1911,USA,Swimming,FATAL
5149,1911.09.17,September,1911,USA,Swimming,Leg
5150,1911.07.31.R,July,1911,SPAIN,Swimming,FATAL
5151,1911.07.16.R,July,1911,USA,Fishing,Leg
5152,1911.05.09,May,1911,SOUTH AFRICA,Swimming,FATAL
5153,1911.05.01.R,May,1911,USA,Fishing,Leg
5154,1911.05.01,May,1911,SOUTH AFRICA,Swimming,FATAL
5155,1911.04.08.R,April,1911,NEW ZEALAND,Fishing,No injury
5156,1911.03.29.R,March,1911,AUSTRALIA,Swimming,FATAL
5157,1911.01.04,January,1911,AUSTRALIA,OTHER,No injury
5158,1911.00.00.b,Unknown,1911,USA,Swimming,Leg
5159,1911.00.00.a,Unknown,1911,NEW ZEALAND,Fishing,FATAL
5160,1910.12.25.R,December,1910,CROATIA,Unknown,FATAL
5161,1910.12.23.R,December,1910,AUSTRALIA,OTHER,FATAL
5162,1910.11.28,November,1910,OTHER,Fishing,Arm
5163,1910.11.24,November,1910,AUSTRALIA,Swimming,Leg
5164,1910.06.25.R,June,1910,MEXICO,Swimming,Leg
5165,1910.06.08.R,June,1910,MOZAMBIQUE,Swimming,FATAL
5166,1910.05.16.R,May,1910,USA,Water sports,FATAL
5167,1910.03.31,March,1910,PANAMA,Water sports,FATAL
5168,1910.03.08,March,1910,NEW ZEALAND,Swimming,Leg
5169,1910.03.00,March,1910,USA,Diving,No injury
5170,1910.02.16,February,1910,AUSTRALIA,Surfing,Leg
5171,1910.01.26,January,1910,AUSTRALIA,Unknown,FATAL
5172,1910.00.00.b,Unknown,1910,USA,Swimming,FATAL
5173,1910.00.00.a,Unknown,1910,PHILIPPINES,Swimming,Leg
5174,1909.12.26.R,December,1909,USA,Unknown,Arm
5175,1909.12.15.R,December,1909,AUSTRALIA,Water sports,FATAL
5176,1909.12.05,December,1909,AUSTRALIA,Fishing,Arm
5177,1909.11.14,November,1909,INDONESIA,Water sports,FATAL
5178,1909.09.04.R,September,1909,USA,OTHER,Leg
5179,1909.08.13,August,1909,USA,Fishing,FATAL
5180,1909.07.24,July,1909,USA,Fishing,Leg
5181,1909.07.15,July,1909,USA,Swimming,Leg
5182,1909.06.26.a.R,June,1909,MEXICO,Swimming,FATAL
5183,1909.06.26.b.R,June,1909,SOUTH AFRICA,Unknown,FATAL
5184,1909.06.18,June,1909,AUSTRALIA,Water sports,Leg
5185,1909.04.27.R,April,1909,SPAIN,Fishing,No injury
5186,1909.04.10,April,1909,USA,OTHER,OTHER
5187,1909.04.09.R,April,1909,OTHER,Diving,FATAL
5188,1909.03.06,March,1909,SOUTH AFRICA,OTHER,FATAL
5189,1909.01.17,January,1909,OTHER,Water sports,FATAL
5190,1909.01.00,January,1909,ITALY,Fishing,Leg
5191,1909.00.00,Unknown,1909,AUSTRALIA,Unknown,Unknown
5192,1908.12.31,December,1908,SOUTH AFRICA,Swimming,FATAL
5193,1908.12.16.R,December,1908,MEXICO,Swimming,FATAL
5194,1908.09.21,September,1908,AUSTRALIA,Water sports,FATAL
5195,1908.09.05,September,1908,USA,Swimming,Arm
5196,1908.08.28.R,August,1908,SPAIN,Water sports,FATAL
5197,1908.07.18.R,July,1908,SPAIN,Unknown,OTHER
5198,1908.07.08.R,July,1908,CROATIA,Water sports,Leg
5199,1908.06.18,June,1908,EGYPT,OTHER,FATAL
5200,1908.06.08,June,1908,USA,OTHER,FATAL
5201,1908.06.02.R,June,1908,PAPUA NEW GUINEA,OTHER,OTHER
5202,1908.05.13,May,1908,INDONESIA,Water sports,FATAL
5203,1908.05.10,May,1908,USA,Unknown,FATAL
5204,1908.01.08,January,1908,USA,Fishing,FATAL
5205,1907.12.21,December,1907,AUSTRALIA,Swimming,FATAL
5206,1907.10.18.R,October,1907,AUSTRALIA,Swimming,FATAL
5207,1907.10.16.R,October,1907,OTHER,Fishing,Arm
5208,1907.10.16.R,October,1907,OTHER,Fishing,OTHER
5209,1907.10.14,October,1907,AUSTRALIA,Swimming,Arm
5210,1907.10.12,October,1907,OTHER,Water sports,No injury
5211,1907.10.08,October,1907,USA,Fishing,Arm
5212,1907.09.18.R,September,1907,ENGLAND,Swimming,No injury
5213,1907.09.11,September,1907,CROATIA,Swimming,FATAL
5214,1907.08.12.b..R,August,1907,CROATIA,Swimming,FATAL
5215,1907.08.12.a..R,August,1907,CROATIA,Swimming,FATAL
5216,1907.08.08.R,August,1907,USA,Shore,Trunk
5217,1907.07.14.R,July,1907,CROATIA,Swimming,FATAL
5218,1907.07.04.R,July,1907,AUSTRALIA,OTHER,OTHER
5219,1907.07.00,July,1907,USA,Swimming,Leg
5220,1907.04.20,April,1907,MEXICO,Swimming,Leg
5221,1907.03.26,March,1907,USA,Fishing,FATAL
5222,1907.03.07,March,1907,OTHER,Fishing,FATAL
5223,1907.02.09,February,1907,PHILIPPINES,Water sports,Arm
5224,1907.02.05,February,1907,NEW ZEALAND,Shore,Leg
5225,1907.02.03,February,1907,AUSTRALIA,Swimming,FATAL
5226,1907.00.00.b,Unknown,1907,VIETNAM,Fishing,Leg
5227,1907.00.00.a,Unknown,1907,USA,Swimming,FATAL
5228,1906.11.16,November,1906,JAMAICA,Fishing,Leg
5229,1906.10.10.d.R,October,1906,USA,Unknown,Trunk
5230,1906.10.10.c.R,October,1906,USA,Swimming,FATAL
5231,1906.10.10.b.R,October,1906,USA,Diving,Arm
5232,1906.10.10.a.R,October,1906,USA,Swimming,FATAL
